Dates,Headlines
12 Oct 2016,"IndusInd Bank Q2 net up 26% at Rs 704cr, provisions at Rs 214 cr"
10 Oct 2016,Here's what you can expect from IndusInd Bank's Q2 earnings
10 Oct 2016,IndusInd Bank Q2 PAT seen up 6% to Rs 701 cr: Motilal Oswal
06 Oct 2016,"Bullish on RIL, IndusInd Bank may climb to Rs 1257: Rajat Bose"
03 Oct 2016,"Prefer HDFC Bank, says Prakash Gaba"
27 Sep 2016,"Sell Idea, M&M, Tata Motors; buy Kesoram: Ashwani Gujral"
21 Sep 2016,Paytm partners with Indusind Bank to offer financing options for booking of two-wheelers
20 Sep 2016,"Buy IndusInd Bank 1180 Call, sell 1220 Call: Krish Subramanyam"
20 Sep 2016,"Buy IndusInd Bank, HPCL, JSW Steel: Ashwani Gujral"
19 Sep 2016,"Buy IndusInd Bank, Bharat Forge; sell BEML: Ashwani Gujral"
15 Sep 2016,"Buy RIL, Automotive Axle; sell IndusInd Bank: Gujral"
14 Sep 2016,"Short IndusInd Bank, says Amit Gupta"
07 Sep 2016,"Buy Bharat Forge, IndusInd Bank, Vedanta: Ashwani Gujral"
07 Sep 2016,"Buy Vedanta, UPL, IndusInd Bank: Sandeep Wagle"
07 Sep 2016,"Buy Britannia, LIC Housing, NCC, Axis Bank, IndusInd Bank:Gujral"
07 Sep 2016,Here are some stock ideas from SP Tulsian
06 Sep 2016,"Sell Jubilant Foodworks; buy Rel Infra, IndusInd Bank: Gujral"
02 Sep 2016,NPA issue in banks far from over; better mechanism needed: Pros
01 Sep 2016,"Hold JSW Steel; buy HDFC, IndusInd Bank: Ashish Chaturmohta"
01 Sep 2016,"Buy IndusInd Bank, Sintex Industries: Manoj Murlidharan"
31 Aug 2016,"Tulsian's take on construction cos, Zee, RBL Bank & other stocks"
31 Aug 2016,"Buy REC, IndusInd Bank, CONCOR: Sandeep Wagle"
31 Aug 2016,"Buy Asian Paints, UltraTech Cement, IndusInd Bank: Sandeep Wagle"
18 Aug 2016,"Buy L&T Finance Holdings, IndusInd Bank, Sun TV: Ashwani Gujral"
18 Aug 2016,"Buy UltraTech Cement, IndusInd Bank, Torrent Pharma: Wagle"
18 Aug 2016,"Buy IndusInd Bank, Torrent Pharma, Gabriel India: Ashwani Gujral"
09 Aug 2016,"Go long in private banks; short PSU banks, short IFCI: Thacker"
08 Aug 2016,"Buy M&M, NMDC, IndusInd Bank: Sudarshan Sukhani"
02 Aug 2016,Bharat Fin not eyeing a banking licence now: PH Ravikumar
01 Aug 2016,Here are a few stock ideas from Ajay Bodke
27 Jul 2016,RBI slaps Rs 27-cr penalty on 13 banks for FEMA violations
20 Jul 2016,"Buy Lupin, Power Grid; sell IndusInd Bank, YES Bank: Gujral"
15 Jul 2016,Here are a few stock ideas from Prakash Diwan
14 Jul 2016,Find out why Tulsian is bullish on logistics stocks
12 Jul 2016,Buy Indusind Bank; target of Rs 1278: Reliance Securities
12 Jul 2016,Buy Indusind Bank; target of Rs 1143: KR Choksey
12 Jul 2016,IndusInd Bank opens IFSC banking unit at GIFT city
12 Jul 2016,"Microfinance, non-vehicle loan book to drive growth: IndusInd"
12 Jul 2016,Here are a few investment ideas from Prakash Diwan
11 Jul 2016,Institution of high growth to continue in IndusInd bank: IIFL
11 Jul 2016,"IndusInd Bank Q1 profit soars 26% on strong NII, other income"
11 Jul 2016,IndusInd: Q4 forecast and why it is IDBI Cap's top pvt bank pick
11 Jul 2016,IndusInd Bank Q1 net seen up 27% at Rs 666.8 cr: KR Choksey
11 Jul 2016,Here are a few stock ideas from Ambareesh Baliga
11 Jul 2016,"Buy HDIL, LIC Housing Finance, IndusInd Bank: Hemant Thukral"
11 Jul 2016,IndusInd Bank Q1 profit seen up 24% at Rs 654 cr: Poll
08 Jul 2016,"Pick IndusInd Bank on correction, says Sanjiv Bhasin"
08 Jul 2016,"Hold IndusInd Bank, may test Rs 1145: Gaurang Shah"
08 Jul 2016,Book some profits in IndusInd Bank: Nooresh Merani
08 Jul 2016,"Buy IndusInd Bank, YES Bank, M&M Financial: Ashwani Gujral"
05 Jul 2016,"Buy IndusInd Bank, Aban Offshore; sell Aurobindo Pharma: Gujral"
05 Jul 2016,Here are Sanjiv Bhasin's top trading ideas
04 Jul 2016,"Buy IDBI Bank, Apollo Hospitals; sell IndusInd Bank: Gujral"
01 Jul 2016,"Buy Strides Shasun, Axis Bank, Reliance Industries: Gujral"
01 Jul 2016,"IndusInd Bank's asset quality strong, but concerns remain: CLSA"
30 Jun 2016,"Buy Infosys; IndusInd Bank may hit Rs 1125, NTPC Rs 155: Gaba"
30 Jun 2016,7th Pay hike may raise consumption to 8%: Stocks you can buy now
29 Jun 2016,"Exit Rana Sugars, prefer private sector banks: Gaurang Shah"
29 Jun 2016,"Buy IndusInd Bank, JSW Energy, Bharat Forge: Ashwani Gujral"
29 Jun 2016,"Buy IndusInd Bank, M&M Financial, ITC; sell HCL Tech: Gujral"
29 Jun 2016,"Buy DLF, Tata Motors, Dabur, Aurobindo Pharma: Ashwani Gujral"
27 Jun 2016,Best buys: Which stocks are brokerages backing after Brexit
24 Jun 2016,"IndusInd Bank's Q1 results on July 11, 2016"
22 Jun 2016,"Buy Manappuram Fin, Repco Home; sell IndusInd Bank: Gujral"
16 Jun 2016,"Exit UCO Bank, says Ashu Madan"
16 Jun 2016,"Sell IndusInd Bank; buy Dr Reddy's Labs, Dish TV: Gaurav Bissa"
16 Jun 2016,"Buy YES Bank, IndusInd Bank, HDFC Bank on dips: Ashwani Gujral"
15 Jun 2016,"Prefer IndusInd Bank, YES Bank, Kotak Bank: Dipan Mehta"
14 Jun 2016,"Buy Kesoram Industries, NIIT Technologies: Ashwani Gujral"
13 Jun 2016,"Buy McLeod Russel, UPL; sell HDIL: Ashwani Gujral"
09 Jun 2016,"IndusInd Bank's AGM on July 01, 2016"
09 Jun 2016,"Tata Motors top pick, may test Rs 510: Ajay Bodke"
06 Jun 2016,New NPAs to decline 40% in FY17; prefer private sector banks: MS
03 Jun 2016,Why Prabhudas Lilladher is bullish on these stocks
03 Jun 2016,"Buy HDFC, Axis Bank, IndusInd Bank, Maruti Suzuki: Gujral"
03 Jun 2016,Buy bajaj Finance on dips: Ashwani Gujral
02 Jun 2016,"SP Tulsian۪s views on Godrej Cons, Coal India & pvt, PSU banks"
02 Jun 2016,"Focus on HDFC, HDFC Bank, HUL, ITC: Sudarshan Sukhani"
31 May 2016,"Exit Dhanlaxmi Bank, says Sharmila Joshi"
27 May 2016,HDFC among world's top 10 consumer financial services company
26 May 2016,"Buy Strides Shasun, Indiabulls Housing, Siemens: Ashwani Gujral"
26 May 2016,"Buy YES Bank, IndusInd Bank on dips, GAIL may hit Rs 425: Gujral"
25 May 2016,"Buy YES Bank, IndusInd Bank, Petronet LNG: Ashwani Gujral"
25 May 2016,Lohia Auto Industries signs MoU with Induslnd Bank
25 May 2016,"Buy IndusInd Bank, Havells India, Axis Bank: Ashwani Gujral"
23 May 2016,Induslnd Bank and Reliance General Insurance tie up for distribution of insurance products
19 May 2016,"Sell IndusInd Bank, Indiabulls Housing; buy GATI: Ashwani Gujral"
18 May 2016,HMSI teams up with IndusInd Bank for two-wheeler financing
18 May 2016,Honda inks national 2Wheeler retail finance MoU with IndusInd Bank
17 May 2016,"Buy GAIL India, BPCL, ONGC, enter IT stocks: Ashwani Gujral"
17 May 2016,"Buy Ajanta Pharma, IndusInd Bank, Arvind: Chandan Taparia"
17 May 2016,"Buy HDFC Bank, ITC on dips; SpiceJet may hit Rs 90: Prakash Gaba"
17 May 2016,"Buy Bharti Airtel, HDIL, Ajanta Pharma: Ashwani Gujral"
16 May 2016,"Buy IndusInd Bank, JSW Steel: Ashwani Gujral"
16 May 2016,"Cautious banks; no cheer seen on interest rates, NPAs: JP Morgan"
12 May 2016,Mauritius Treaty fallout:Companies with most exposure to p-notes
12 May 2016,"Hold IndusInd Bank, Kotak Bank: Mayuresh Joshi"
12 May 2016,"Buy Axis Bank, YES Bank, IndusInd Bank: Sudarshan Sukhani"
12 May 2016,"Buy Kotak Bank, Lloyd Electric may test Rs 273: Prakash Gaba"
11 May 2016,"Buy Hero MotoCorp, IndusInd Bank on dips: Sudarshan Sukhani"
10 May 2016,"Buy YES Bank, HDFC may test Rs 1320 in long term: Ashwani Gujral"
09 May 2016,"Buy IndusInd Bank, LIC Housing Finance: Sandeep Wagle"
09 May 2016,"Short Divis Lab, buy IndusInd Bank: Rahul Shah"
09 May 2016,"Short Just Dial; buy IndusInd Bank, NTPC, Arvind: Ashwani Gujral"
06 May 2016,"Buy Union Bank, Karnataka Bank, Havells: Ashwani Gujral"
06 May 2016,IndusInd Bank inaugurates a new branch at Kolkata
05 May 2016,"Buy L&T, Havells; sell IndusInd Bank: Ashwani Gujral"
05 May 2016,"Bull's Eye: Buy Bata, HDFC, Havells; sell Dish TV, Hind Zinc"
02 May 2016,"Prefer YES Bank, IndusInd Bank, HDFC Bank: Anand Tandon"
02 May 2016,"Buy IndusInd Bank, Ashok Leyland: Rahul Shah"
02 May 2016,"Look at HDFC, IndusInd Bank, YES Bank: Harendra Kumar"
02 May 2016,"'See single-digit FY17 profit growth, high slippages for ICICI'"
30 Apr 2016,"Look at YES Bank, IndusInd Bank: Ashwani Gujral"
28 Apr 2016,"Bullish on YES Bank, IndusInd Bank, HDFC Bank: Hemant Thukral"
28 Apr 2016,"Buy Maruti Suzuki, YES Bank, Axis Bank on dips: Ashwani Gujral"
26 Apr 2016,"Buy SPARC, Idea Cellular; sell UPL: Ashwani Gujral"
26 Apr 2016,Go long in IndusInd Bank 1020 Call: Navneet Daga
22 Apr 2016,Hold IndusInd Bank; target of Rs 1060: ICICI Direct
21 Apr 2016,Slight NPA increase for IndusInd acceptable: Analysts
