Date,Open,Close,Label
07-10-2010,18.761,18.716999,__label__1
08-10-2010,18.797001,18.723,__label__2
11-10-2010,18.629999,18.559,__label__1
12-10-2010,18.415001,18.445,__label__1
13-10-2010,18.702999,18.847,__label__2
14-10-2010,18.756001,18.708,__label__1
15-10-2010,18.6,18.492001,__label__1
18-10-2010,18.448,18.663,__label__1
19-10-2010,18.605,17.941,__label__1
20-10-2010,18.195999,17.933001,__label__2
21-10-2010,18.195999,17.781,__label__2
22-10-2010,17.257,17.645,__label__1
25-10-2010,17.712,17.181,__label__2
26-10-2010,17.191999,17.302,__label__2
27-10-2010,17.129999,16.795,__label__1
28-10-2010,17.028999,17.493,__label__2
29-10-2010,17.533001,17.296,__label__2
01-11-2010,17.586,17.858999,__label__2
02-11-2010,17.899,17.948999,__label__2
03-11-2010,18.075001,17.921,__label__2
04-11-2010,18.257,18.573,__label__2
05-11-2010,18.528999,18.68,__label__1
08-11-2010,18.370001,18.540001,__label__1
09-11-2010,18.754999,18.499001,__label__2
10-11-2010,18.4,18.580999,__label__1
11-11-2010,18.312,18.466999,__label__1
12-11-2010,18.200001,18.046,__label__1
15-11-2010,18.202,18.405001,__label__2
16-11-2010,18.299,17.827999,__label__1
17-11-2010,17.907,18.094,__label__2
18-11-2010,18.247,18.242001,__label__2
19-11-2010,17.968,18.211,__label__1
22-11-2010,18.530001,18.233999,__label__2
23-11-2010,18.1,17.806999,__label__1
24-11-2010,17.827,17.579,__label__2
26-11-2010,17.575001,17.823,__label__1
29-11-2010,17.775,17.636999,__label__1
30-11-2010,17.485001,17.635,__label__1
01-12-2010,18.188999,18.568001,__label__2
02-12-2010,18.738001,18.878,__label__2
03-12-2010,18.792999,18.808001,__label__1
06-12-2010,18.674999,18.674,__label__1
07-12-2010,18.785,17.91,__label__2
08-12-2010,17.799999,17.992001,__label__1
09-12-2010,17.728001,16.077999,__label__1
10-12-2010,16.565001,16.708,__label__2
13-12-2010,16.871,16.622999,__label__2
14-12-2010,16.719999,16.434,__label__2
15-12-2010,16.233999,15.853,__label__1
16-12-2010,15.908,16.205999,__label__2
17-12-2010,16.181999,16.441999,__label__1
20-12-2010,16.452999,16.097,__label__2
21-12-2010,16.275999,16.379999,__label__2
22-12-2010,16.356001,16.677999,__label__1
23-12-2010,16.681,16.547001,__label__2
27-12-2010,16.563999,16.509001,__label__2
28-12-2010,16.643,16.613001,__label__2
29-12-2010,16.827,16.851999,__label__2
30-12-2010,16.750999,16.76,__label__1
31-12-2010,16.805,16.711,__label__2
03-01-2011,16.975,16.950001,__label__2
04-01-2011,16.826,16.457001,__label__1
05-01-2011,16.365,16.32,__label__1
06-01-2011,16.403,15.655,__label__2
07-01-2011,15.57,15.322,__label__1
10-01-2011,14.573,14.765,__label__1
11-01-2011,14.993,14.86,__label__2
12-01-2011,15.128,15.515,__label__2
13-01-2011,15.069,15.45,__label__1
14-01-2011,14.962,15.006,__label__1
18-01-2011,15.095,15,__label__2
19-01-2011,15.114,15.036,__label__2
20-01-2011,15.208,15.051,__label__2
21-01-2011,15.209,14.989,__label__2
24-01-2011,15.19,14.956,__label__2
25-01-2011,14.749,14.846,__label__1
26-01-2011,14.847,14.737,__label__2
27-01-2011,14.796,14.645,__label__2
28-01-2011,14.671,14.042,__label__2
31-01-2011,14.21,14.441,__label__2
01-02-2011,14.436,14.626,__label__1
02-02-2011,14.465,14.268,__label__1
