Dates,Headlines
07 Feb 2016,"United Spirits, 6 others to get into F&O turf from Feb 26"
05 Feb 2016,Buy Torrent Pharma; target of Rs 1741: Sharekhan
05 Feb 2016,"Buy Bharat Forge, Mindtree: Sudip Bandopadhyay"
05 Feb 2016,Earnings Pataka: Torrent Pharma posts stellar Q3 results
04 Feb 2016,Torrent Pharma Q3 net zooms 3-fold to Rs 483 crore
03 Feb 2016,Torrent Pharma Q3 profit seen up 40% on Abilify generic sales
22 Jan 2016,"Torrent Pharmaceuticals Q3 results on Feb 04, 2016"
12 Jan 2016,Torrent Pharma launches Adalimumab biosimilar in India
12 Jan 2016,"Go long in Torrent Pharma, advises Gaurav Bissa"
08 Jan 2016,"Hold Torrent Pharma, says Gaurang Shah"
31 Dec 2015,Like private banks; SBI top pick: R Sreesankar
31 Dec 2015,"IndusInd Bank looks strong, may test Rs 1000: Hemant Thukral"
31 Dec 2015,Buy IndusInd Bank; sell BPCL: Prakash Gaba
30 Dec 2015,"Go long in IndusInd Bank, says Aditya Agarwal"
30 Dec 2015,Short Bank of India; buy IndusInd Bank: Sukhani
28 Dec 2015,Top chart picks for December 28
24 Dec 2015,"Pick Kotak Mah Bank, IndusInd Bank: SP Tulsian"
24 Dec 2015,IndusInd Bank may touch Rs 970: Rahul Mohindar
23 Dec 2015,Sell Bank of India; prefer IndusInd Bank: Pankaj Jain
21 Dec 2015,Bank of Baroda may slip to Rs 152-155: Rajat Bose
18 Dec 2015,"Buy IndusInd Bank, SBI may test Rs 265: Rahul Mohindar"
18 Dec 2015,"Sell Axis Bank, target Rs 425.50: Rajat Bose"
16 Dec 2015,Dilip Shanghvi to make open offer to buy 26% Suzlon stake
15 Dec 2015,"Despite gloom over NPAs, these banks could be good bargains"
09 Dec 2015,IndusInd Bank opens a new branch in Indore
07 Dec 2015,Prakash Gaba's stock picks that can fetch handsome returns
02 Dec 2015,"Sell IDFC on rallies, says Pankaj Jain"
30 Nov 2015,"IndusInd Bank, HDFC Bank, SKS Micro top bets: Rahul Arora"
30 Nov 2015,"Buy IndusInd Bank on dips, says Sameet Chavan"
26 Nov 2015,"IndusInd Bank good pick, target Rs 953-960: Thukral"
23 Nov 2015,Buy IndusInd Bank; target Rs 978: Sameet Chavan
23 Nov 2015,Super Six stocks that can boost your portfolio on Nov 23
20 Nov 2015,"Buy IndusInd Bank, Bata India: Manas Jaiswal"
13 Nov 2015,"Buy YES Bank 740 Put, IndusInd Bank 800 Put: VK Sharma"
13 Nov 2015,15 quality stocks for Samvat 2072: AB Money
13 Nov 2015,Eyeing for gains post tie-ups with payment banks: IndusInd
09 Nov 2015,"Bull's Eye: Sell Dr Reddy's, JSW Energy, Ceat, buy BoI"
06 Nov 2015,"Buy Motherson Sumi Systems, IndusInd Bank: Hemen Kapadia"
05 Nov 2015,"Buy Coal India; sell IndusInd Bank, JSW Steel: Sukhani"
04 Nov 2015,Diwali shopping list of 12 stocks by Sharekhan
27 Oct 2015,IFSC at GIFT City begins operations with Yes Bank launch
23 Oct 2015,"Axis Bank may test Rs 530-535, says Hemant Thukral"
