Dates,Headlines
30 Oct 2017,Buy Kotak Mahindra Bank; target of Rs 1075: JM Financial
27 Oct 2017,Buy Kotak Mahindra Bank; target of Rs 1179: Motilal Oswal
26 Oct 2017,"Hold Kotak Mahindra Bank; target of Rs 1,056: Edelweiss"
26 Oct 2017,Analysts remain neutral on Kotak Mahindra Bank despite better Q2 performance
26 Oct 2017,"Buy, Sell, Hold: 6 stocks are on analysts€™ radar today"
25 Oct 2017,"Kotak Mahindra Bank Q2 profit rises 22%, loan book grows 21%; asset quality improves"
24 Oct 2017,"Kotak Mahindra Bank Q2 profit seen up 24%, loan growth may be around 15%"
05 Oct 2017,Kotak Mahindra Bank may test Rs 1500: Ashwani Gujral
22 Sep 2017,"Buy Kotak Mahindra Bank, Cipla; sell SREI Infrastructure: Ashwani Gujral"
19 Sep 2017,"Buy Kotak Mahindra Bank, Reliance Industrial Infrastructure: Mitessh Thakkar"
12 Sep 2017,"Buy Kotak Mahindra Bank, Adani Enterprises: Mitessh Thakkar"
06 Sep 2017,"Digital payments growth dips 27% in Aug from peak; BHIM, UPI to take charge"
06 Sep 2017,"JPMorgan upgrades Kotak Mahindra Bank, ups target on hopes of strong growth"
02 Sep 2017,Kotak Mahindra Bank: Updates
01 Sep 2017,"Buy Kotak Mahindra Bank, Asian Paints, CESC: Ashwani Gujral"
21 Aug 2017,"Sell Kotak Mahindra Bank, Dabur India: Mitessh Thakkar"
04 Aug 2017,Need to be cautious about cutting rates for accounts below Rs 1cr: Kotak Mahindra
03 Aug 2017,Kotak Mahindra Bank holds retail savings rate
27 Jul 2017,A further re-rating on the cards for Yes Bank?
25 Jul 2017,Accumulate Kotak Mahindra Bank; target of Rs 1104: KR Choksey
25 Jul 2017,Hold Kotak Mahindra Bank; target of Rs 970: ICICI Direct
24 Jul 2017,Buy Kotak Mahindra Bank; target of Rs 1109: HDFC Securities
22 Jul 2017,"Banking Wrap: Essar Steel plea against RBI dismissed, ICICI Bank offers ATM loans"
21 Jul 2017,Hold Kotak Mahindra Bank; target of Rs 1001: Edelweiss
21 Jul 2017,"Buy, Sell, Hold: Analysts are watching these 3 stocks today. Do you have them in your portfolio?"
21 Jul 2017,"Kotak Mahindra Bank to raise Rs 65,000 cr"
20 Jul 2017,Kotak Mahindra Bank's exposure at Rs 236 cr to 4 of 12 NPAs on RBI radar
20 Jul 2017,Kotak Mahindra Bank Q1 FY18 €“ Well-capitalised and ready for leap
20 Jul 2017,"Buy Kotak Mahindra Bank, says Rajat Bose"
20 Jul 2017,Kotak Mahindra Bank hits 52-week high; top 5 takeaways from Q1 results
20 Jul 2017,Kotak Mahindra Bank Q1 profit at Rs 913 cr misses estimates; NPA lower at 1.25%
19 Jul 2017,"Kotak Mahindra Bank Q1 profit seen up 40%, low cost deposit flow may be strong"
17 Jul 2017,"Buy Kotak Mahindra Bank, JSW Steel, ICICI Bank: Yogesh Mehta"
28 Jun 2017,"Kotak Mahindra Bank's board meeting on July 20, 2017"
17 Jun 2017,Conviction Buys! Top 22 stocks where fund managers hold more than 2% in portfolio
02 Jun 2017,"Banking industry in its current form is unsustainable, says Uday Kotak"
25 May 2017,"Buy Kotak Mahindra Bank, Tata Motors, CG Power: CA Rudramurthy"
22 May 2017,Uday Kotak sells 1.8 crore shares in Kotak Mahindra Bank: Sources
19 May 2017,"Buy Kotak Mahindra Bank, GMDC; sell Sun TV: Ashwani Gujral"
17 May 2017,"Kotak Mahindra Bank raises Rs 5,800 cr via QIP"
17 May 2017,Kotak sees a blockchain banking consortium in future
15 May 2017,"Indian banks don't Wannacry; RBI tells them to upgrade ops, ATMs"
15 May 2017,"Buy Kotak Mahindra Bankï»¿, Godrej Industries, NMDC: Rahul Shah"
12 May 2017,"Buy Kotak Mahindra Bank, says Sandeep Wagle"
12 May 2017,"Kotak Mahindra Bank to price share offer at top of range, raising $901 million"
11 May 2017,Kotak Mahindra Bank board approves QIP at Rs 913.24 per share
10 May 2017,Kotak Mah Bank likely to launch a QIP this week; looks to raise over Rs 5K cr: Srcs
10 May 2017,"Buy Kotak Mahindra Bank, Bajaj Finance, Britannia Industries: Yogesh Mehta"
09 May 2017,Kotak Mahindra Bank: Outcome of EGM
05 May 2017,Hold Kotak Mahindra Bank; target of Rs 965: Axis Direct
03 May 2017,"Buy Kotak Bank, Bajaj Auto, GSPL, Sharda Cropchem; sell SAIL: Sudarshan Sukhani"
02 May 2017,KMB banks on '811' to double its customer base in two years
02 May 2017,Hold Kotak Mahindra Bank; target of Rs 950: ICICI Direct
28 Apr 2017,Kotak Bank to buy out Old Mutual's insurance stake for Rs 1292 crore
28 Apr 2017,Hold Kotak Mahindra Bank; target of Rs 896: Edelweiss
28 Apr 2017,Buy Kotak Mahindra Bank; target of Rs 1050: Motilal Oswal
28 Apr 2017,Here€™s what analysts are talking about Kotak Mahindra Bank€™s Q4 performance
28 Apr 2017,Kotak Bank Q4 shows a steady ship navigating with caution
28 Apr 2017,No plans to list life insurance co currently; industry to grow by 15%: Kotak Bank
28 Apr 2017,"Kotak Mahindra Bank to buy out British partner Old Mutual for Rs 1,292 crore"
28 Apr 2017,Kotak Mahindra Bank to buy 26% stake in Kotak Mahindra Old Mutual Life Insurance
27 Apr 2017,"Kotak Mahindra Bank sees uptick in bad loans in Q4, but hopes to reverse trend in FY18"
