Date,Open Price,Close Price,Label
22-Mar-12,2867,2827,__label__1
21-Mar-12,2827.2,2866.9,__label__2
20-Mar-12,2823.55,2825.3,__label__1
19-Mar-12,2888.1,2833.05,__label__2
16-Mar-12,2900,2866.05,__label__2
15-Mar-12,2882.15,2881.8,__label__2
14-Mar-12,2885,2879.3,__label__2
13-Mar-12,2836.2,2859.45,__label__1
12-Mar-12,2911.05,2816.8,__label__2
09-Mar-12,2900,2859.85,__label__2
07-Mar-12,2845,2879.6,__label__1
06-Mar-12,2804,2849.05,__label__1
05-Mar-12,2852,2809.35,__label__2
03-Mar-12,2852.55,2859.4,__label__2
02-Mar-12,2860.2,2846.6,__label__2
01-Mar-12,2865,2848.8,__label__2
29-Feb-12,2900,2875.4,__label__2
28-Feb-12,2885,2871.45,__label__2
27-Feb-12,2960.1,2880.35,__label__2
24-Feb-12,2936,2947.3,__label__2
23-Feb-12,2931,2935,__label__1
22-Feb-12,2940,2952.65,__label__2
21-Feb-12,2932,2937.15,__label__1
17-Feb-12,2911,2950.6,__label__1
16-Feb-12,2860,2903.35,__label__1
15-Feb-12,2816.1,2867.25,__label__1
14-Feb-12,2775,2800.4,__label__1
13-Feb-12,2779.95,2784.3,__label__1
10-Feb-12,2790.05,2782.7,__label__2
09-Feb-12,2750,2807.25,__label__1
08-Feb-12,2749,2768.65,__label__1
07-Feb-12,2800.1,2725.05,__label__2
06-Feb-12,2802.2,2776.3,__label__2
03-Feb-12,2740,2779.95,__label__1
02-Feb-12,2744.9,2753.45,__label__1
01-Feb-12,2741.7,2734.85,__label__1
31-Jan-12,2715,2743.35,__label__1
30-Jan-12,2700,2705.9,__label__1
27-Jan-12,2695,2720.6,__label__1
25-Jan-12,2630,2659.75,__label__1
24-Jan-12,2621,2620.1,__label__1
23-Jan-12,2580,2599.95,__label__1
20-Jan-12,2599.9,2583.55,__label__1
19-Jan-12,2608.3,2591.9,__label__2
18-Jan-12,2644,2610.55,__label__2
17-Jan-12,2650,2660.25,__label__2
16-Jan-12,2584.8,2634.1,__label__1
13-Jan-12,2611,2585.55,__label__1
12-Jan-12,2744,2588.6,__label__2
11-Jan-12,2867,2826,__label__2
10-Jan-12,2857,2863,__label__2
09-Jan-12,2848.75,2836.2,__label__1
07-Jan-12,2840,2837.5,__label__2
06-Jan-12,2838.9,2830.65,__label__2
05-Jan-12,2840,2838.9,__label__2
