Time,Dates,Sources,Headlines
2.33 pm , 12 May 2014 ,   Source: Moneycontrol.com,Torrent Pharma fixes book closure for final dividend & AGM
2.07 pm , 12 May 2014 ,   Source: CNBC-TV18,"Hold Torrent Pharma, advises Nooresh Merani"
9.16 am , 12 May 2014 ,   Source: Moneycontrol.com,Torrent Pharma: Outcome of board meeting
8.05 pm , 11 May 2014 ,   Source: PTI,Torrent Pharma Q4 net jumps 120% to Rs 244 crore
9.40 pm , 09 May 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Board recommends final dividend
1.12 pm , 07 May 2014 ,   Source: CNBC-TV18,"Buy Torrent Pharma, Aarti Ind, Titan Company: Paras Bothra"
9.03 am , 07 May 2014 ,   Source: CNBC-TV18,"Bull's Eye: Buy Bharat Forge, Titan, YES Bank, Welspun"
8.58 am , 06 May 2014 ,   Source: CNBC-TV18,"Bull's Eye: Buy Marico, Torrent Pharma, LIC Housing"
8.46 am , 30 Apr 2014 ,   Source: Moneycontrol.com,Torrent Pharma to consider final dividend
6.49 pm , 09 Apr 2014 ,   Source: PTI,"CCI clears Torrent-Elder Pharma Rs 2,000 cr deal"
4.34 pm , 03 Apr 2014 ,   Source: CNBC-TV18,Hold Torrent Pharma; target Rs 650: Rajesh Agarwal
4.28 pm , 03 Apr 2014 ,   Source: CNBC-TV18,"Pick Glenmark Pharma, says Lancelot D Cunha"
2.41 pm , 03 Apr 2014 ,   Source: CNBC-TV18,Buy Torrent Pharma: Sudarshan Sukhani
12.36 pm , 03 Apr 2014 ,   Source: Moneycontrol.com,Pharma cos may see healthy earnings growth in Q4FY14: CLSA
11.17 am , 03 Apr 2014 ,   Source: CNBC-TV18,Top 10 stocks to make your portfolio shine today
11.08 am , 21 Feb 2014 ,   Source: CNBC-TV18,Expect Rs 600-700cr sales from overseas biz: Elder Pharma
5.03 pm , 05 Feb 2014 ,   Source: CNBC-TV18,Looking at a turnover of Rs 200cr from domestic biz: Elder
3.47 pm , 23 Jan 2014 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target of Rs 574: ICICIdirect.com
9.49 pm , 22 Jan 2014 ,   Source: Moneycontrol.com,Torrent Pharma touches lifetime high
11.30 am , 22 Jan 2014 ,   Source: Moneycontrol.com,Torrent Pharma Q3 net profit up 41% on overseas revenue
11.14 am , 22 Jan 2014 ,   Source: CNBC-TV18,Buy Torrent Pharmaceuticals: Sudarshan Sukhani
5.55 pm , 21 Jan 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Board declares interim dividend
11.38 am , 14 Jan 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals fixes record date for interim dividend
8.35 am , 14 Jan 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals to consider interim dividend
11.06 am , 13 Jan 2014 ,   Source: CNBC-TV18,"Pharma space to outperform, says Jaideep Goswami"
2.10 pm , 01 Jan 2014 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals: Updates on closure of trading window
1.13 pm , 29 Dec 2013 ,   Source: PTI,"Dose of bitter pills, booster injections for pharma sector"
10.00 pm , 26 Dec 2013 ,   Source: PTI,Elder Pharma eyes new therapeutics areas to drive growth
4.54 pm , 23 Dec 2013 ,   Source: Moneycontrol.com,Buy Torrent Pharma; target of Rs 530: ICICIdirect.com
4.32 pm , 13 Dec 2013 ,   Source: CNBC-TV18,Buy Torrent Pharmaceuticals on dips: SP Tulsian
1.29 pm , 13 Dec 2013 ,   Source: CNBC-TV18,Torrent buys Elder's formulation biz for Rs 2Kcr; stks tank
1.20 pm , 13 Dec 2013 ,   Source: Moneycontrol.com,Torrent to acquire Indian branded formulations business of Elder
12.20 pm , 12 Dec 2013 ,   Source: CNBC-TV18,"Buy Torrent Pharma, NIIT Tech, Radico Khaitan: Subramanium"
8.50 am , 12 Dec 2013 ,   Source: CNBC-TV18,"Bull's Eye: Buy Apollo Tyres, Rallis India, Ashok Leyland"
8.34 am , 12 Dec 2013 ,   Source: CNBC-TV18,Check Out: Super Six stocks for December 12
8.06 am , 25 Nov 2013 ,   Source: Moneycontrol.com,Torrent Pharmaceuticals clarifies on news item
2.52 pm , 22 Nov 2013 ,   Source: CNBC-TV18,"Accumulate Infosys, Tech Mahindra: Nischal Maheshwari"
3.26 pm , 09 Nov 2013 ,   Source: Moneycontrol.com,Hold Torrent Pharma; target Rs 509: Sushil Finance
12.05 pm , 08 Nov 2013 ,   Source: CNBC-TV18,"Buy Torrent Pharma, KPIT Tech; sell Voltas: Subramanium"
