Time,Dates,Sources,Headlines
10.56 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen up 6.6% at Rs 2439cr: Kotak Securities
10.50 am , 11 Oct 2012 ,   Source: Moneycontrol.com,Infosys Q2 PAT seen flat at Rs 2293cr: Prabhudas Lilladher
9.59 am , 11 Oct 2012 ,   Source: CNBC-TV18,Infosys Q2: Analysts see 3% growth in Q2 profit & revenues
6.13 pm , 10 Oct 2012 ,   Source: CNBC-TV18,Grant Thornton India sees dip in M&A activities
6.50 pm , 09 Oct 2012 ,   Source: Moneycontrol.com,Emkay expects inline Q2 qtr from Tier I IT services
6.16 pm , 09 Oct 2012 ,   Source: Moneycontrol.com,"Angel expects TCS,HCL Tech to lead growth in tier-I IT pack"
5.52 pm , 09 Oct 2012 ,   Source: Moneycontrol.com,IT sector Q2 results preview: Dolat Capital
4.32 pm , 09 Oct 2012 ,   Source: CNBC-TV18,"Wary of IT sector; Bet on L&T, HDIL & cable-TV cos: Tulsian"
2.52 pm , 09 Oct 2012 ,   Source: Reuters,Infosys September-quarter profit seen up 24.9%
11.11 am , 05 Oct 2012 ,   Source: Moneycontrol.com,"Macro woes, margin pressure to drag IT firms' Q2 earnings"
1.44 pm , 04 Oct 2012 ,   Source: CNBC-TV18,"Q2FY13: IT firms to post muted results, says Emkay Global"
10.52 am , 04 Oct 2012 ,   Source: Moneycontrol.com,"HSBC downgrades TCS, HCL Tech to 'neutral'"
10.40 am , 04 Oct 2012 ,   Source: CNBC-TV18,"See lower levels in Wipro, says Jai Bala"
2.46 pm , 03 Oct 2012 ,   Source: Reuters,Infosys falls; rupee sparks outlook fears
2.27 pm , 01 Oct 2012 ,   Source: Moneycontrol.com,Book profit in Infosys: Agarwal
1.43 pm , 30 Sep 2012 ,   Source: PTI,Infosys entry will give WB's image a fillip: Nasscom
10.49 pm , 28 Sep 2012 ,   Source: CNBC-TV18,India Inc credits Chidu for reforms; stress implementation
9.04 pm , 28 Sep 2012 ,   Source: PTI,Narayana Murthy to exit HSBC board
