Time,Dates,Sources,Headlines
1.22 pm , 11 Aug 2011 ,   Source: CNBC-Awaaz,Hold Indusind Bank: Manas Jaiswal
5.18 pm , 22 Jul 2011 ,   Source: CNBC-TV18,Tulsian positive on Axis Bank
2.44 pm , 18 Jul 2011 ,   Source: Moneycontrol.com,Sell IndusInd Bank Future; target Rs 266-260: ABMoney
6.00 pm , 15 Jul 2011 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank: Arihant capital markets
11.02 am , 15 Jul 2011 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 326: ULJK Securities
3.02 pm , 12 Jul 2011 ,   Source: Moneycontrol.com,IndusInd Bank Jun qtr PAT seen up at Rs 181cr: KRChoksey
6.23 pm , 11 Jul 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 325: P Lilladher
6.19 pm , 11 Jul 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 328: Way2Wealth
4.04 pm , 11 Jul 2011 ,   Source: Moneycontrol.com,IndusInd Bank Jun qtr PAT seen up at Rs 170.4cr: PLilladher
11.58 am , 11 Jul 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 331: KRChoksey
11.33 am , 11 Jul 2011 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 320: Unicon
11.14 am , 11 Jul 2011 ,   Source: CNBC-TV18,IndusInd Bank expects FY12 loan growth at 25%
8.45 am , 11 Jul 2011 ,   Source: CNBC-TV18,Houseviews: Four stocks that need your attention
2.16 pm , 08 Jul 2011 ,   Source: CNBC-TV18,"Hold IndusInd Bank, says Devang Mehta"
2.11 pm , 08 Jul 2011 ,   Source: Moneycontrol.com,IndusInd Bank Q1 net profit jumps 52.5% at Rs 180 cr
1.58 pm , 08 Jul 2011 ,   Source: CNBC-Awaaz,Buy Indusind Bank: Chandan Taparia
12.52 pm , 08 Jul 2011 ,   Source: CNBC-TV18,Earnings season: What to expect from banks?
10.27 am , 08 Jul 2011 ,   Source: CNBC-TV18,Indusind Bank Q1 profit after tax seen up 45% at Rs 172 cr
1.24 pm , 05 Jul 2011 ,   Source: CNBC-TV18,IndusInd Bank has target of Rs 289: Thununguntla
11.13 am , 05 Jul 2011 ,   Source: CNBC-TV18,Bull's Eye: 12 trading strategies for exciting gains
10.35 am , 05 Jul 2011 ,   Source: Moneycontrol.com,IIFL's technical and F&O strategy for 4 popular stocks
6.26 pm , 04 Jul 2011 ,   Source: CNBC-TV18,IndusInd Bank looks attractive: PN Vijay
3.34 pm , 01 Jul 2011 ,   Source: PTI,Dewan Housing raises RPLR by 25 bps to 17.75%
7.42 pm , 30 Jun 2011 ,   Source: PTI,Corporation Bank raises lending rate by 35 basis points
5.49 pm , 28 Jun 2011 ,   Source: CNBC-TV18,Thukral`s view on banking space
4.58 pm , 28 Jun 2011 ,   Source: Moneycontrol.com,IndusInd Bank signs MoU with Indian Army
3.51 pm , 28 Jun 2011 ,   Source: PTI,IndusInd Bank to add 400 branches by March 2014
10.00 am , 24 Jun 2011 ,   Source: CNBC-TV18,"Buy IndusInd Bank, says PN Vijay"
3.31 pm , 21 Jun 2011 ,   Source: CNBC-TV18,In focus: Will banks pass RBI's 25 bps rate hike to you?
2.43 pm , 16 Jun 2011 ,   Source: Moneycontrol.com,Short IndusInd Bank; target of Rs 249: Bothra
11.13 am , 16 Jun 2011 ,   Source: CNBC-TV18,Bull's Eye: 12 must-have stocks for your portfolio
8.29 pm , 09 Jun 2011 ,   Source: PTI,IndusInd inks agreement with Atos for POS services
10.00 pm , 02 Jun 2011 ,   Source: PTI,ElectraCard Services ties-up with IndusInd Bank
8.11 pm , 01 Jun 2011 ,   Source: PTI,IndusInd Bank to add 150 branches in FY12
2.18 pm , 20 May 2011 ,   Source: CNBC-TV18,"Invest in Yes Bank, says Hemang Jani"
4.52 pm , 13 May 2011 ,   Source: CNBC-TV18,Buy banking stock at lower levels: Baliga
4.31 pm , 13 May 2011 ,   Source: Moneycontrol.com,"Buy Bank of India at current level, says Dilip Bhat"
2.46 pm , 06 May 2011 ,   Source: CNBC-TV18,"IndusInd Bank, Yes Bank top picks: Diwan"
5.37 pm , 04 May 2011 ,   Source: PTI,IndusInd Bank signs MoU with HDFC to sell home loans
3.12 pm , 04 May 2011 ,   Source: Moneycontrol.com,IndusInd Bank to sell HDFC�s home loan products
12.35 pm , 26 Apr 2011 ,   Source: Moneycontrol.com,Buy Indusind Bank; target of Rs 320: Unicon Investment
8.20 pm , 25 Apr 2011 ,   Source: PTI,IndusInd Bank selects Finacle core banking transformation
12.40 pm , 21 Apr 2011 ,   Source: CNBC-TV18,Kotak Institutional positive on IndusInd Bank
1.27 pm , 20 Apr 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 325: P Lilladher
11.50 am , 20 Apr 2011 ,   Source: CNBC-TV18,IndusInd Banks' gross yields one of highest among peers
11.19 am , 20 Apr 2011 ,   Source: CNBC-TV18,"Buy SBI, says Amit Gupta"
4.22 pm , 19 Apr 2011 ,   Source: Moneycontrol.com,Slideshow: Hits and Misses of Q4 earnings season so far
2.07 pm , 19 Apr 2011 ,   Source: Moneycontrol.com,"IndusInd Bank Mar '11 profit at Rs 1,048.84 crore"
3.58 pm , 18 Apr 2011 ,   Source: Moneycontrol.com,IndusInd Bank to hike exposure in used car market by 150%
2.53 pm , 18 Apr 2011 ,   Source: CNBC-TV18,IndusInd Bank Q4 net profit up 75.5% at Rs 172 cr
2.27 pm , 18 Apr 2011 ,   Source: CNBC-TV18,"Hold IndusInd Bank, says Kunal Bothra"
2.06 pm , 18 Apr 2011 ,   Source: Moneycontrol.com,Indusind Bank declares dividend at Rs 2 per share
10.33 am , 18 Apr 2011 ,   Source: CNBC-TV18,Indusind Bank likely to post 69% growth in Q4
5.38 pm , 12 Apr 2011 ,   Source: Moneycontrol.com,Earnings Recap: See how India Inc fared in last quarter
5.43 pm , 11 Apr 2011 ,   Source: PTI,IndusInd snaps up Deutsche Bank India's credit card biz
2.36 pm , 07 Apr 2011 ,   Source: Moneycontrol.com,IndusInd Bank Mar qtr PAT seen up at Rs 161.6 cr: UNICON
12.58 pm , 05 Apr 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 328: Way2Wealth
7.00 pm , 25 Mar 2011 ,   Source: Moneycontrol.com,Which 11 stocks is ULJK Securities putting money on?
11.13 am , 25 Mar 2011 ,   Source: Moneycontrol.com,"Motilal Oswal bullish on Axis Bk, HDFC Bk, ICICI Bk, IndusInd Bk, Yes Bk"
10.37 am , 24 Mar 2011 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 270: Anu Jain
5.10 pm , 23 Mar 2011 ,   Source: CNBC-TV18,Yes Bank can touch Rs 305-307: Kulkarni
10.08 am , 22 Mar 2011 ,   Source: Reuters,Indusind Bank to buy Deutsche Bank's India credit card biz: Report
12.55 pm , 18 Mar 2011 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 312: Prabhudas Lilladher
3.59 pm , 08 Mar 2011 ,   Source: CNBC-TV18,IndusInd Bank can test Rs 235: IIFL
10.53 am , 08 Mar 2011 ,   Source: Moneycontrol.com,Sell IndusInd Bank Fut; target Rs 233.5: IIFL
