Time,Dates,Sources,Headlines
8.50 am , 13 Jul 2015 ,   Source: Moneycontrol.com,"IndusInd Bank Q1 NIM, asset quality seen stable; NII up 22%"
3.27 pm , 10 Jul 2015 ,   Source: CNBC-TV18,"Remain invested in Voltas, says Gaurang Shah"
10.46 am , 09 Jul 2015 ,   Source: CNBC-TV18,Use dips to enter IndusInd Bank: Rahul Mohindar
9.00 am , 06 Jul 2015 ,   Source: CNBC-TV18,Super Six trading ideas for the day
10.10 pm , 03 Jul 2015 ,   Source: Moneycontrol.com,"IndusInd Bank Q1 results on July 13, 2015"
10.38 pm , 01 Jul 2015 ,   Source: PTI,IndusInd Bank-RBS deal gets Competition Commission nod
2.07 pm , 30 Jun 2015 ,   Source: CNBC-TV18,"Buy IndusInd Bank, BPCL, HUL, Kotak Bank: Hathiramani"
4.35 pm , 29 Jun 2015 ,   Source: CNBC-TV18,"Prefer HDFC Bank, Axis Bank, IndusInd Bank: Baliga"
3.23 pm , 27 Jun 2015 ,   Source: Moneycontrol.com,Portfolio churner: 10 stocks to buy/sell as Greece haunts
3.46 pm , 26 Jun 2015 ,   Source: CNBC-TV18,"Bharti Airtel may hit Rs 500, Idea Cellular Rs 230: Shah"
3.09 pm , 25 Jun 2015 ,   Source: CNBC-TV18,"TS Harihar negative on PSU banks, positive on private banks"
11.45 am , 24 Jun 2015 ,   Source: CNBC-TV18,"Look at Pidilite Industries, Kotak Bank: Saurabh Mukherjea"
2.57 pm , 22 Jun 2015 ,   Source: CNBC-TV18,"Buy TVS Motor, Century Textiles, SBI: Sudarshan Sukhani"
1.55 pm , 22 Jun 2015 ,   Source: CNBC-TV18,"Private sector banks top pick, avoid PSU banks: Dipan Mehta"
6.17 pm , 16 Jun 2015 ,   Source: PTI,Lakshmi Vilas Bank raises deposit rates by 1%
12.16 pm , 12 Jun 2015 ,   Source: PTI,IndusInd Bank promoters to retain stake at 15% post QIP
9.37 am , 12 Jun 2015 ,   Source: CNBC-TV18,"Sell IndusInd Bank, Bharat Heavy Electricals: Rajat Bose"
3.32 pm , 11 Jun 2015 ,   Source: CNBC-TV18,"Short IndusInd Bank, Allahabad Bank: Ashish Chaturmohta"
