Date,Actual Open,Actual High,Actual Low,Actual Close,Predicted Open,Predicted High,Predicted Low,Predicted Close
19-02-2020,1222.5,1230,1213.900024,1227.199951,1240.842,1255.3237,1229.9877,1241.0282
20-02-2020,1230,1230,1214.099976,1217.099976,1238.0245,1252.4989,1227.264,1238.2314
24-02-2020,1208.949951,1214.75,1200,1209.949951,1234.7998,1249.2583,1224.1296,1235.0317
25-02-2020,1204,1209,1198,1200.300049,1232.0405,1246.4794,1221.433,1232.2948
26-02-2020,1197.5,1204.699951,1185.650024,1199.25,1229.4515,1243.8699,1218.8909,1229.7241
27-02-2020,1195,1202.5,1181,1199.449951,1226.448,1240.8453,1215.9401,1226.7385
28-02-2020,1175.5,1185,1170.099976,1177.650024,1222.8279,1237.2019,1212.3853,1223.1385
02-03-2020,1195,1200.050049,1167,1182.150024,1219.0981,1233.4474,1208.7179,1219.4286
03-03-2020,1180,1185.699951,1168.150024,1181.300049,1214.6954,1229.0194,1204.3885,1215.0471
04-03-2020,1179,1179.949951,1133.300049,1148.949951,1209.3842,1223.6783,1199.1697,1209.7628
05-03-2020,1154,1164.449951,1145,1151.650024,1203.7266,1217.9847,1193.6072,1204.1366
06-03-2020,1130,1141.300049,1101.5,1134.849976,1197.3456,1211.559,1187.3339,1197.791
09-03-2020,1134.849976,1134.849976,1134.849976,1134.849976,1190.6094,1204.768,1180.7089,1191.0922
11-03-2020,1110,1120,1093.050049,1112.75,1182.6796,1196.7709,1172.9164,1183.2039
12-03-2020,1075,1078.900024,1003.549988,1021.700012,1174.5321,1188.5436,1164.9049,1175.0974
13-03-2020,977,1081.349976,919.549988,1071.150024,1165.973,1179.8949,1156.4843,1166.5771
16-03-2020,1034.900024,1036.849976,995.099976,999.049988,1152.9528,1166.7605,1143.718,1153.609
17-03-2020,1002,1012.849976,955,975.25,1135.1178,1148.7733,1126.2513,1135.8436
18-03-2020,990,992.75,865.099976,878.5,1114.4218,1127.8878,1105.9624,1115.2231
19-03-2020,850,919.25,795.150024,894.799988,1091.9396,1105.1844,1083.8864,1092.8121
20-03-2020,876,914.5,824.549988,882.400024,1066.0447,1079.0303,1058.4453,1066.9838
23-03-2020,815,841.700012,760,770.5,1035.256,1047.9304,1028.1976,1036.2587
24-03-2020,800,825,738.900024,765.450012,1002.88336,1015.20605,996.34204,1003.9358
25-03-2020,770,867.950012,755.700012,855.549988,967.682,979.6094,961.67303,968.7673
26-03-2020,874.5,941.099976,841.150024,913.400024,930.9806,942.4764,925.48004,932.07874
27-03-2020,945,988.150024,872.549988,905.049988,899.11865,910.19147,893.9144,900.199
30-03-2020,894.900024,894.900024,828.25,833,881.55096,892.2949,876.1881,882.5726
31-03-2020,857,873,838,862,881.60834,892.17993,875.64294,882.5395
01-04-2020,869.900024,869.900024,820,829.700012,888.8142,899.32465,882.2275,889.65717
03-04-2020,841,846.549988,810,813.5,895.46185,905.95715,888.46875,896.24615
07-04-2020,876,906.049988,846,896.349976,897.1118,907.5824,889.9968,897.87494
08-04-2020,887.5,945,866.700012,888.950012,892.11487,902.51587,885.1335,892.8891
09-04-2020,911.099976,930.099976,890.299988,924.299988,886.57526,896.88995,879.7375,887.37354
13-04-2020,939,945.700012,887,895.450012,884.8279,895.0778,878.00476,885.6455
15-04-2020,929,929.75,843.349976,863.450012,888.7291,898.9647,881.7639,889.55554
16-04-2020,863,889.599976,856.099976,881.049988,896.4205,906.6917,889.248,897.2499
17-04-2020,912.849976,920.849976,887.900024,910.400024,902.99304,913.3157,895.705,903.83
20-04-2020,952.25,960.849976,936.099976,946,905.2993,915.6543,898.05597,906.15576
21-04-2020,928,934.349976,908.200012,920.75,906.1923,916.56775,899.0309,907.07367
22-04-2020,918,932.650024,907.299988,928.400024,910.2527,920.66907,903.06195,911.15186
