Date,Open,High,Low,Close,Adj Close,Volume
2011-12-21,331.000000,347.924988,326.500000,344.899994,293.352051,598912
2011-12-22,332.500000,347.950012,332.500000,346.649994,294.840485,338024
2011-12-23,346.500000,353.475006,346.000000,348.200012,296.158875,362644
2011-12-26,349.774994,353.000000,346.549988,351.049988,298.582947,271184
2011-12-27,351.950012,355.700012,346.225006,351.799988,299.220764,349086
2011-12-28,351.500000,353.799988,340.075012,343.375000,292.054962,244900
2011-12-29,342.000000,348.500000,338.500000,343.299988,291.991211,513678
2011-12-30,344.899994,347.350006,338.399994,341.524994,290.481506,342382
2012-01-02,345.500000,346.000000,335.000000,336.924988,286.569000,538774
2012-01-03,340.000000,340.975006,328.250000,333.250000,283.443237,971340
2012-01-04,334.000000,334.000000,318.000000,319.100006,271.408081,1071366
2012-01-05,319.750000,325.750000,314.100006,324.924988,276.362488,1489450
2012-01-06,324.500000,329.399994,319.625000,328.125000,279.084229,681850
2012-01-07,null,null,null,null,null,null
2012-01-09,327.950012,327.950012,319.850006,326.549988,277.744629,305504
2012-01-10,328.000000,347.500000,328.000000,344.924988,293.373352,681872
2012-01-11,345.850006,345.850006,334.549988,339.399994,288.674133,533610
2012-01-12,340.350006,344.000000,335.750000,342.399994,291.225739,450130
2012-01-13,344.600006,349.250000,341.049988,345.975006,294.266388,684272
2012-01-16,344.500000,346.000000,341.125000,344.450012,292.969330,388974
2012-01-17,347.500000,354.700012,345.350006,353.000000,300.241455,464282
2012-01-18,353.524994,355.000000,337.024994,342.975006,291.714752,826934
2012-01-19,348.450012,348.450012,335.549988,337.200012,286.802887,769144
2012-01-20,339.000000,340.000000,323.024994,328.200012,279.147980,1361566
2012-01-23,329.000000,333.000000,327.450012,330.799988,281.359436,721126
2012-01-24,331.399994,344.549988,328.750000,342.575012,291.374573,709190
2012-01-25,345.000000,346.500000,340.575012,343.274994,291.969910,330474
2012-01-27,346.250000,352.100006,342.500000,349.049988,296.881775,593552
2012-01-30,347.100006,349.500000,330.625000,332.600006,282.890411,444022
2012-01-31,337.350006,338.950012,332.049988,336.424988,286.143677,516584
2012-02-01,336.100006,349.500000,336.100006,344.274994,292.820526,967236
2012-02-02,349.350006,355.325012,345.075012,349.899994,297.604797,616280
2012-02-03,350.100006,358.825012,348.450012,355.299988,302.197662,796094
2012-02-06,360.000000,361.924988,351.000000,354.950012,301.900024,491668
2012-02-07,356.399994,360.000000,342.750000,344.725006,293.203247,1329644
2012-02-08,341.799988,348.700012,336.125000,343.375000,292.054962,766670
2012-02-09,342.000000,352.000000,341.250000,350.274994,297.923737,380258
2012-02-10,351.500000,355.899994,342.625000,345.524994,293.883698,673476
2012-02-13,346.000000,353.774994,346.000000,351.700012,299.135773,375346
2012-02-14,352.774994,359.850006,352.399994,358.500000,304.919495,522660
2012-02-15,362.500000,374.950012,362.450012,367.700012,312.744476,1141778
2012-02-16,369.450012,369.450012,356.750000,362.725006,308.512970,533512
2012-02-17,368.500000,376.299988,365.075012,374.649994,318.655670,880516
2012-02-21,374.700012,383.200012,369.000000,379.975006,323.184875,556106
2012-02-22,382.500000,383.424988,368.450012,370.875000,315.444916,379458
2012-02-23,370.500000,372.325012,359.000000,362.299988,308.151489,318962
2012-02-24,368.100006,369.575012,360.049988,364.625000,310.129089,291114
2012-02-27,365.000000,365.725006,345.625000,347.825012,295.839874,327346
2012-02-28,350.000000,355.500000,349.125000,352.100006,299.475983,405090
2012-02-29,354.000000,358.750000,345.024994,353.825012,300.943176,481460
2012-03-01,354.950012,354.950012,334.575012,340.825012,289.886139,749788
2012-03-02,344.000000,344.575012,337.250000,339.924988,289.120605,463790
2012-03-03,null,null,null,null,null,null
2012-03-05,340.500000,341.975006,334.200012,338.075012,287.547150,506978
2012-03-06,338.500000,345.750000,336.000000,340.225006,289.375793,271668
2012-03-07,335.750000,340.825012,333.500000,336.875000,286.526459,262280
2012-03-09,341.500000,342.000000,330.549988,338.125000,287.589600,568330
2012-03-12,344.000000,344.950012,331.000000,331.774994,282.188690,344850
2012-03-13,332.500000,334.500000,326.399994,328.450012,279.360626,605176
2012-03-14,332.500000,340.700012,330.950012,334.825012,284.782867,553346
2012-03-15,334.500000,334.975006,328.274994,329.549988,280.296234,300860
2012-03-16,326.575012,348.399994,325.000000,338.475006,287.887329,1455534
2012-03-19,342.000000,348.500000,341.500000,344.350006,292.884247,682130
2012-03-20,344.500000,348.950012,340.174988,342.750000,291.523407,380514
2012-03-21,341.000000,350.774994,341.000000,349.450012,297.222046,531684
2012-03-22,349.000000,353.000000,340.000000,341.799988,290.715393,398284
2012-03-23,340.000000,347.000000,337.500000,344.375000,292.905548,262146
2012-03-26,344.000000,344.000000,337.549988,340.924988,289.971161,264610
2012-03-27,345.000000,345.000000,339.000000,343.424988,292.097534,273358
2012-03-28,341.000000,347.000000,338.500000,341.125000,290.141266,273446
2012-03-29,337.500000,341.000000,336.299988,339.024994,288.355133,135234
2012-03-30,339.250000,349.950012,338.549988,348.450012,296.371521,296108
2012-04-02,354.000000,356.399994,349.149994,354.250000,301.304657,328662
2012-04-03,357.500000,358.500000,351.725006,353.774994,300.900604,168756
2012-04-04,352.000000,352.700012,347.250000,349.750000,297.477203,105268
2012-04-09,350.000000,350.000000,341.500000,342.274994,291.119354,113182
2012-04-10,342.250000,347.500000,341.274994,346.899994,295.053131,144884
2012-04-11,344.524994,350.250000,344.250000,347.600006,295.648560,199970
2012-04-12,347.649994,351.000000,345.075012,347.674988,295.712341,188326
2012-04-13,351.174988,354.825012,345.000000,346.075012,294.351471,202460
2012-04-16,345.024994,346.024994,340.649994,343.850006,292.459015,120764
2012-04-17,344.000000,345.750000,339.524994,342.225006,291.076874,360020
2012-04-18,345.000000,347.450012,343.049988,346.174988,294.436523,175876
2012-04-19,346.000000,354.950012,346.000000,353.125000,300.347748,312460
2012-04-20,355.000000,364.750000,352.149994,363.325012,309.023315,583904
2012-04-23,362.524994,367.000000,353.500000,357.524994,304.090149,380830
